place,lac,ci,lon,lat,2G_3G,people
MY0462C1_绵阳普思电子-3,33111,57256,104.6825,31.4518,2,0.5
MY0443A1_绵阳龙门九龙村-1,33111,57464,104.69099,31.59131,2,9
MY0443B1_绵阳龙门九龙村-2,33111,57465,104.69099,31.59131,2,9
MY0443C1_绵阳龙门九龙村-3,33111,57466,104.69099,31.59131,2,0.5
MY0391A1_绵阳河边美林半岛-1,33111,57534,104.49461,31.4946,2,0.5
MY0391B1_绵阳河边美林半岛-2,33111,57535,104.49461,31.4946,2,0.5
MY0391C1_绵阳河边美林半岛-3,33111,57536,104.49461,31.4946,2,0.5
MY0468A1_绵阳清华园别墅区-1,33111,57574,104.6996,31.4829,2,0.5
MY0468B1_绵阳清华园别墅区-2,33111,57575,104.6996,31.4829,2,0.5
MY0468C1_绵阳清华园别墅区-3,33111,57576,104.6996,31.4829,2,0.5
MY0368A1_绵阳富安新区-1,33111,57724,104.68787,31.463005,2,7
MY0368B1_绵阳富安新区-2,33111,57725,104.68787,31.463005,2,0.5
MY0368C1_绵阳富安新区-3,33111,57726,104.68787,31.463005,2,0.5
MY6093A1_绵阳艺术学校1800-1,33111,57764,104.67971,31.47388,2,7
MY6093B1_绵阳艺术学校1800-2,33111,57765,104.67971,31.47388,2,1
MY6093C1_绵阳艺术学校1800-3,33111,57766,104.67971,31.47388,2,1
MY0537A1_绵阳西财综合楼-1,33111,57774,104.68534,31.49577,2,6
MY0537B1_绵阳西财综合楼-2,33111,57775,104.68534,31.49577,2,0.5
MY0537C1_绵阳西财综合楼-3,33111,57776,104.68534,31.49577,2,0.5
MY0351A1_绵阳东岳四社-1,33111,57834,104.71381,31.44946,2,0.5
MY0351B1_绵阳东岳四社-2,33111,57835,104.71381,31.44946,2,0.5
MY0351C1_绵阳东岳四社-3,33111,57836,104.71381,31.44946,2,3
MY0541A1_绵阳西科大东7宿舍楼-1,33111,57934,104.69573,31.53925,2,0.5
MY0541B1_绵阳西科大东7宿舍楼-2,33111,57935,104.69573,31.53925,2,0.5
MY0541C1_绵阳西科大东7宿舍楼-3,33111,57936,104.69573,31.53925,2,0.5
MY0347A1_绵阳东辰中学-1,33111,57944,104.7036,31.4843,2,0.5
MY0347B1_绵阳东辰中学-2,33111,57945,104.7036,31.4843,2,0.5
MY0347C1_绵阳东辰中学-3,33111,57946,104.7036,31.4843,2,7
MY0341A1_绵阳达沃斯酒店-1,33111,57994,104.66656,31.46801,2,0.5
MY0341B1_绵阳达沃斯酒店-2,33111,57995,104.66656,31.46801,2,5
